id,name
0,East Village
1,Clinton
2,Gramercy
3,Hamilton Heights
4,Chinatown
5,Stuyvesant Town-Cooper Village
6,Battery Park City-Lower Manhattan
7,Washington Heights North
8,Yorkville
9,Midtown-Midtown South
10,Turtle Bay-East Midtown
11,Murray Hill-Kips Bay
12,Upper East Side-Carnegie Hill
13,Lenox Hill-Roosevelt Island
14,Central Harlem North-Polo Grounds
15,Lower East Side
16,East Harlem South
17,Upper West Side
18,Lincoln Square
19,Washington Heights South
20,SoHo-TriBeCa-Civic Center-Little Italy
21,Hudson Yards-Chelsea-Flatiron-Union Square
22,West Village
23,Manhattanville
24,Morningside Heights
25,Central Harlem South
26,East Harlem North
27,Marble Hill-Inwood
28,park-cemetery-etc-Manhattan
